Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-03-23,320.15,331.14,318.3216,321.0,7237471.0,0.0,1.0,318.5667490890161,329.50239979177513,316.74739115044247,319.41254554919317,7237471.0
2018-03-22,330.11,332.68,319.01,319.61,7282165.0,0.0,1.0,328.4774934929724,331.0347839666841,317.43238677771996,318.029419573139,7282165.0
2018-03-21,337.07,341.91,335.17,337.1,4056304.0,0.0,1.0,335.40307391983345,340.21913846954715,333.5124700676731,335.4329255596044,4056304.0
2018-03-20,331.84,339.7,331.0,337.63,6500507.0,0.0,1.0,330.1989380530973,338.02006767308694,329.3630921395107,335.96030452889124,6500507.0
2018-03-19,327.45,333.33,326.78,331.76,6328878.0,0.0,1.0,325.83064809994795,331.68156949505465,325.1639614783967,330.11933368037484,6328878.0
2018-03-16,329.82,330.83,325.63,330.47,9328976.0,0.0,1.0,328.18892764185324,329.1939328474753,324.01964862051017,328.8357131702239,9328976.0
2018-03-15,332.3,332.92,322.91,329.98,8766002.0,0.0,1.0,330.656663196252,331.2735970848517,321.31309994794384,328.3481363872983,8766002.0
2018-03-14,339.7917,340.524,322.3,330.26,13057904.0,0.0,1.0,338.11131418532017,338.8399927121291,320.7061166059344,328.62675169182717,13057904.0
2018-03-13,345.32,347.88,337.61,338.67,5441501.0,0.0,1.0,343.61227485684543,346.15961478396673,335.9404034357106,336.9951613742843,5441501.0
2018-03-12,355.2,355.23,343.26,344.19,6085472.0,0.0,1.0,353.44341488807913,353.4732665278501,341.56246225924,342.48786309213955,6085472.0
2018-03-09,352.65,354.89,350.23,354.52,3538348.0,0.0,1.0,350.9060255075482,353.1349479437793,348.49799323269133,352.7667777199375,3538348.0
2018-03-08,349.51,352.5,343.95,348.73,4319915.0,0.0,1.0,347.78155387818845,350.75676730869344,342.2490499739719,347.0054112441437,4319915.0
2018-03-07,341.52,348.4093,339.5,347.04,4575690.0,0.0,1.0,339.8310671525247,346.6862972149922,337.8210567412806,345.32376887038004,4575690.0
2018-03-06,354.24,355.21,346.0219,348.92,4866471.0,0.0,1.0,352.4881624154087,353.4533654346695,344.3107037220198,347.1944716293598,4866471.0
2018-03-05,338.0,354.77,336.61,352.75,8140161.0,0.0,1.0,336.328474752733,353.0155413846955,334.9453487766789,351.00553097345136,8140161.0
2018-03-02,341.82,346.09,335.3,344.67,10021332.0,0.0,1.0,340.12958355023426,344.3784669442999,333.6418271733473,342.9654893284748,10021332.0
2018-03-01,362.33,362.74,346.4,349.69,8977971.0,0.0,1.0,360.5381546069755,360.9461270171786,344.6869338885997,347.96066371681417,8977971.0
2018-02-28,366.8,371.6,362.21,362.21,5472898.0,0.0,1.0,364.9860489328475,369.7623112961999,360.4187480478917,360.4187480478917,5472898.0
2018-02-27,364.6,369.89,363.3,364.64,4772135.0,0.0,1.0,362.7969286829777,368.0607678292556,361.5033576262364,362.8367308693389,4772135.0
2018-02-26,359.5,364.05,358.2123,363.48,4147770.0,0.0,1.0,357.72214992191573,362.2496486205102,356.44081803748054,361.6824674648621,4147770.0
2018-02-23,358.18,358.77,353.0668,356.66,3353424.0,0.0,1.0,356.4086777719938,356.9957600208225,351.32076428943265,354.89619469026553,3353424.0
2018-02-22,354.65,358.07,352.64,355.92,3414299.0,0.0,1.0,352.8961348256117,356.2992217595003,350.89607496095783,354.159854242582,3414299.0
2018-02-21,352.56,360.81,351.75,352.37,5258555.0,0.0,1.0,350.81647058823535,359.0256715252473,350.0104763144196,350.6274102030193,5258555.0
2018-02-20,352.0,357.79,351.4,353.35,4303395.0,0.0,1.0,350.25923997917755,356.0206064549714,349.6622071837585,351.6025637688704,4303395.0
2018-02-16,356.59,359.5,353.5101,355.04,5211615.0,0.0,1.0,354.8265408641333,357.72214992191573,351.76187201978144,353.2842061426341,5211615.0
2018-02-15,348.47,356.55,348.05,356.46,5827488.0,0.0,1.0,346.74669703279545,354.78673867777206,346.3287740760021,354.6971837584592,5827488.0
2018-02-14,341.34,347.43,341.17,344.85,4340180.0,0.0,1.0,339.651957313899,345.71184018740246,339.4827980218637,343.1445991671005,4340180.0
2018-02-13,340.45,347.8799,340.29,343.16,4029845.0,0.0,1.0,338.76635866736075,346.1595152785008,338.6071499219157,341.46295679333684,4029845.0
2018-02-12,336.57,347.75,335.13,343.8,6885010.0,0.0,1.0,334.90554659031756,346.03025767829257,333.47266788131185,342.0997917751172,6885010.0
2018-02-09,333.55,337.81,319.25,332.83,8831471.0,0.0,1.0,331.9004815200417,336.13941436751696,317.6711998958876,331.1840421655388,8831471.0
2018-02-08,348.0,349.0,329.4,329.66,8295905.0,1.71,1.0,346.27902134305054,347.27407600208227,327.7710046850599,328.02971889640816,8295905.0
2018-02-07,340.52,353.59,339.87,348.12,7946670.0,0.0,1.0,337.08748492200533,350.0257365017381,336.4440370622635,344.61087528206417,7946670.0
2018-02-06,320.0,341.67,317.65,340.91,11935140.0,0.0,1.0,316.77433094984644,338.2258926738564,314.4480194569335,337.4735536378505,11935140.0
2018-02-05,342.67,350.0,317.39,328.88,10511290.0,0.0,1.0,339.21581245807465,346.4719244763945,314.19064031303674,325.56481863370465,10511290.0
